symbol,name,sector,industry,country,pe,pb,peg,profitMargin,roe,roa,debtToEquity,currentRatio,dividendYield,payoutRatio,revenueGrowth,earningsGrowth,marketCap,currentPrice,description
UNH,UnitedHealth Group Inc.,Healthcare,Healthcare Plans,USA,17.8,4.4,2.1,0.199,0.208,0.096,0.88,1.66,0.0226,0.22,0.093,0.139,404597279402,403.46,"UnitedHealth Group Inc. is a leading company in the Healthcare Plans industry, operating primarily in the Healthcare sector."
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers,USA,18.8,5.8,1.5,0.178,0.221,0.077,0.54,1.88,0.0165,0.54,0.095,0.113,474695969605,418.02,"Johnson & Johnson is a leading company in the Drug Manufacturers industry, operating primarily in the Healthcare sector."
JPM,JPMorgan Chase & Co.,Financial Services,Banks,USA,12.7,1.2,1.4,0.121,0.108,0.055,0.38,1.61,0.0243,0.64,0.092,0.09,124857808246,220.0,"JPMorgan Chase & Co. is a leading company in the Banks industry, operating primarily in the Financial Services sector."
V,Visa Inc.,Financial Services,Credit Services,USA,13.0,1.8,1.1,0.153,0.097,0.053,1.42,1.0,0.0242,0.63,0.095,0.094,92416368722,120.61,"Visa Inc. is a leading company in the Credit Services industry, operating primarily in the Financial Services sector."
PG,Procter & Gamble Co.,Consumer Defensive,Household Products,USA,20.4,4.0,2.2,0.1,0.215,0.081,0.54,1.62,0.021,0.48,0.041,0.055,443964613123,486.72,"Procter & Gamble Co. is a leading company in the Household Products industry, operating primarily in the Consumer Defensive sector."
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,USA,12.4,2.0,1.5,0.086,0.116,0.038,1.49,1.32,0.0337,0.38,0.071,0.086,30049801684,229.21,"Exxon Mobil Corporation is a leading company in the Oil & Gas Integrated industry, operating primarily in the Energy sector."
MA,Mastercard Inc.,Financial Services,Credit Services,USA,12.1,1.7,2.1,0.148,0.101,0.054,1.39,2.39,0.0289,0.66,0.068,0.078,143668494286,473.44,"Mastercard Inc. is a leading company in the Credit Services industry, operating primarily in the Financial Services sector."
HD,The Home Depot Inc.,Consumer Cyclical,Home Improvement Retail,USA,15.9,3.1,1.0,0.11,0.122,0.058,1.03,2.21,0.0196,0.67,0.096,0.105,277598571259,161.65,"The Home Depot Inc. is a leading company in the Home Improvement Retail industry, operating primarily in the Consumer Cyclical sector."
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,10.5,1.9,1.5,0.074,0.12,0.038,1.28,2.32,0.0413,0.64,0.057,0.065,174686886286,157.58,"Chevron Corporation is a leading company in the Oil & Gas Integrated industry, operating primarily in the Energy sector."
MRK,Merck & Co. Inc.,Healthcare,Drug Manufacturers,USA,22.6,4.8,2.2,0.207,0.212,0.072,0.44,2.11,0.0198,0.64,0.098,0.109,490118089408,73.86,"Merck & Co. Inc. is a leading company in the Drug Manufacturers industry, operating primarily in the Healthcare sector."
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers,USA,19.9,4.1,2.0,0.167,0.237,0.091,0.52,1.82,0.0192,0.41,0.081,0.111,329306991899,477.28,"AbbVie Inc. is a leading company in the Drug Manufacturers industry, operating primarily in the Healthcare sector."
PEP,PepsiCo Inc.,Consumer Defensive,Beverages,USA,19.4,3.6,0.9,0.099,0.158,0.059,1.44,2.13,0.0272,0.21,0.058,0.065,435240277760,480.01,"PepsiCo Inc. is a leading company in the Beverages industry, operating primarily in the Consumer Defensive sector."
KO,The Coca-Cola Company,Consumer Defensive,Beverages,USA,19.7,4.0,1.6,0.139,0.188,0.065,1.13,2.19,0.0242,0.52,0.055,0.06,389299781112,227.13,"The Coca-Cola Company is a leading company in the Beverages industry, operating primarily in the Consumer Defensive sector."
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,USA,17.9,4.6,2.1,0.107,0.181,0.086,1.11,1.96,0.0222,0.7,0.046,0.051,33465252382,362.77,"Costco Wholesale Corporation is a leading company in the Discount Stores industry, operating primarily in the Consumer Defensive sector."
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers,USA,19.4,4.3,2.0,0.198,0.195,0.066,1.34,1.83,0.0162,0.25,0.086,0.119,328394566225,213.5,"Eli Lilly and Company is a leading company in the Drug Manufacturers industry, operating primarily in the Healthcare sector."
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,USA,21.7,4.4,1.0,0.137,0.211,0.061,0.25,1.42,0.0254,0.44,0.045,0.068,202466517167,385.58,"Walmart Inc. is a leading company in the Discount Stores industry, operating primarily in the Consumer Defensive sector."
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,USA,20.2,3.0,1.7,0.081,0.134,0.064,1.5,1.99,0.0186,0.54,0.104,0.094,260034077077,188.97,"McDonald's Corporation is a leading company in the Restaurants industry, operating primarily in the Consumer Cyclical sector."
CSCO,Cisco Systems Inc.,Technology,Communication Equipment,USA,26.2,7.8,2.4,0.218,0.253,0.085,0.65,1.42,0.0095,0.57,0.139,0.173,149169225642,247.43,"Cisco Systems Inc. is a leading company in the Communication Equipment industry, operating primarily in the Technology sector."
ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,24.3,4.4,1.1,0.179,0.181,0.072,1.48,1.93,0.0227,0.28,0.115,0.12,280359392423,412.21,"Abbott Laboratories is a leading company in the Medical Devices industry, operating primarily in the Healthcare sector."
ADBE,Adobe Inc.,Technology,Software,USA,30.1,6.6,1.6,0.296,0.226,0.098,1.09,1.27,0.0084,0.46,0.132,0.163,290283661620,469.35,"Adobe Inc. is a leading company in the Software industry, operating primarily in the Technology sector."
VZ,Verizon Communications Inc.,Communication Services,Telecom,USA,27.4,6.0,1.4,0.167,0.204,0.081,0.51,2.23,0.0141,0.4,0.112,0.126,449222396329,392.67,"Verizon Communications Inc. is a leading company in the Telecom industry, operating primarily in the Communication Services sector."
NKE,Nike Inc.,Consumer Cyclical,Footwear & Accessories,USA,18.5,2.6,1.2,0.102,0.16,0.065,0.45,1.05,0.0232,0.41,0.077,0.127,304241810715,171.34,"Nike Inc. is a leading company in the Footwear & Accessories industry, operating primarily in the Consumer Cyclical sector."
NFLX,Netflix Inc.,Communication Services,Entertainment,USA,26.9,5.2,2.4,0.19,0.181,0.075,0.6,1.38,0.0179,0.6,0.119,0.116,446928524988,86.56,"Netflix Inc. is a leading company in the Entertainment industry, operating primarily in the Communication Services sector."
INTC,Intel Corporation,Technology,Semiconductors,USA,31.2,7.6,1.6,0.223,0.241,0.093,0.29,2.48,0.0115,0.23,0.122,0.164,322113267287,151.78,"Intel Corporation is a leading company in the Semiconductors industry, operating primarily in the Technology sector."
AMD,Advanced Micro Devices Inc.,Technology,Semiconductors,USA,34.8,8.7,2.0,0.262,0.234,0.092,0.63,1.88,0.0086,0.68,0.154,0.206,129390037797,439.33,"Advanced Micro Devices Inc. is a leading company in the Semiconductors industry, operating primarily in the Technology sector."
QCOM,QUALCOMM Inc.,Technology,Semiconductors,USA,35.8,9.0,1.7,0.237,0.275,0.084,0.35,2.17,0.012,0.38,0.134,0.202,484247425024,124.16,"QUALCOMM Inc. is a leading company in the Semiconductors industry, operating primarily in the Technology sector."
TMUS,T-Mobile US Inc.,Communication Services,Telecom,USA,25.5,4.9,1.3,0.175,0.156,0.082,0.63,2.24,0.0132,0.43,0.119,0.132,472656269672,373.82,"T-Mobile US Inc. is a leading company in the Telecom industry, operating primarily in the Communication Services sector."
CMCSA,Comcast Corporation,Communication Services,Entertainment,USA,23.1,4.6,2.5,0.182,0.209,0.067,0.4,2.44,0.0175,0.56,0.132,0.161,337477949435,380.18,"Comcast Corporation is a leading company in the Entertainment industry, operating primarily in the Communication Services sector."
AVGO,Broadcom Inc.,Technology,Semiconductors,USA,35.5,8.8,2.1,0.292,0.287,0.105,1.22,1.49,0.0117,0.64,0.123,0.181,223857716733,288.14,"Broadcom Inc. is a leading company in the Semiconductors industry, operating primarily in the Technology sector."
INTU,Intuit Inc.,Technology,Software,USA,35.1,6.9,1.9,0.247,0.273,0.116,0.81,1.36,0.0083,0.5,0.134,0.183,460561236057,97.32,"Intuit Inc. is a leading company in the Software industry, operating primarily in the Technology sector."
TXN,Texas Instruments Inc.,Technology,Semiconductors,USA,33.2,8.5,2.1,0.2,0.248,0.092,1.13,1.55,0.0087,0.29,0.148,0.153,351255619208,427.76,"Texas Instruments Inc. is a leading company in the Semiconductors industry, operating primarily in the Technology sector."
AMGN,Amgen Inc.,Healthcare,Biotechnology,USA,20.3,5.2,1.9,0.205,0.166,0.082,0.63,2.22,0.0238,0.61,0.104,0.138,127907993189,337.31,"Amgen Inc. is a leading company in the Biotechnology industry, operating primarily in the Healthcare sector."
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,USA,15.5,2.6,2.4,0.081,0.159,0.057,0.43,1.14,0.0215,0.38,0.079,0.104,221350877359,170.32,"Starbucks Corporation is a leading company in the Restaurants industry, operating primarily in the Consumer Cyclical sector."
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,USA,17.5,3.4,1.7,0.092,0.152,0.058,0.88,0.97,0.0203,0.39,0.075,0.11,16703407125,344.04,"Booking Holdings Inc. is a leading company in the Travel Services industry, operating primarily in the Consumer Cyclical sector."
GILD,Gilead Sciences Inc.,Healthcare,Biotechnology,USA,20.3,4.7,2.3,0.208,0.187,0.095,0.86,1.87,0.0177,0.64,0.107,0.133,34598910161,371.44,"Gilead Sciences Inc. is a leading company in the Biotechnology industry, operating primarily in the Healthcare sector."
ISRG,Intuitive Surgical Inc.,Healthcare,Medical Devices,USA,20.2,5.6,1.7,0.169,0.176,0.083,1.27,2.32,0.0232,0.46,0.106,0.097,491291722030,371.69,"Intuitive Surgical Inc. is a leading company in the Medical Devices industry, operating primarily in the Healthcare sector."
PYPL,PayPal Holdings Inc.,Financial Services,Credit Services,USA,10.7,1.3,2.3,0.148,0.136,0.052,1.3,1.29,0.0266,0.41,0.079,0.094,226303804721,280.75,"PayPal Holdings Inc. is a leading company in the Credit Services industry, operating primarily in the Financial Services sector."
MRNA,Moderna Inc.,Healthcare,Biotechnology,USA,19.0,4.9,1.2,0.171,0.221,0.076,1.48,1.38,0.0205,0.36,0.107,0.119,443556820522,383.51,"Moderna Inc. is a leading company in the Biotechnology industry, operating primarily in the Healthcare sector."
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment,Netherlands,27.0,8.6,1.6,0.298,0.291,0.095,0.65,1.26,0.011,0.27,0.149,0.175,99498375276,385.6,"ASML Holding N.V. is a leading company in the Semiconductor Equipment industry, operating primarily in the Technology sector."
PANW,Palo Alto Networks Inc.,Technology,Software,USA,25.7,8.3,1.5,0.242,0.293,0.095,1.43,2.0,0.0113,0.63,0.125,0.185,111069160819,269.37,"Palo Alto Networks Inc. is a leading company in the Software industry, operating primarily in the Technology sector."
CRWD,CrowdStrike Holdings Inc.,Technology,Software,USA,30.4,9.3,1.1,0.209,0.288,0.09,0.97,2.46,0.0088,0.58,0.157,0.158,230212183374,213.71,"CrowdStrike Holdings Inc. is a leading company in the Software industry, operating primarily in the Technology sector."
ABNB,Airbnb Inc.,Consumer Cyclical,Travel Services,USA,21.2,3.2,2.2,0.082,0.172,0.068,0.7,1.35,0.0216,0.69,0.096,0.118,295451215517,307.29,"Airbnb Inc. is a leading company in the Travel Services industry, operating primarily in the Consumer Cyclical sector."
